transaction_date,branch_name,region,branch_size,product_category,total_revenue_sar,number_of_transactions,average_basket_sar,payment_method,customer_satisfaction_score
20-10-2025,Al Jawf Central,Al Jawf,Small,,1937.32,50,38.75,Visa,3.7
07-11-2025,Hittin,Riyadh,,,18187.82,241,75.47,Mada,3.7
24-10-2025,Jeddah South,Makkah,Large,Electronics,22129.43,139,159.2,Visa,3.8
17-05-2024,Jeddah South,Makkah,Large,Electronics,18164.36,143,127.02,Cash,3.8
05-09-2025,Bisha,Asir,Medium,Clothing,10181.27,101,100.8,Mastercard,4.1
28-03-2024,Al Khobar,Eastern Province,Large,Personal Care,13932.67,144,96.75,Mada,3.9
24-03-2026,Jeddah North,Makkah,,Frozen Foods,17408.17,207,84.1,Visa,4.4
11-01-2026,Jeddah South,Makkah,Large,Cleaning Supplies,12179.46,162,75.18,Cash,3.6
26-07-2024,Riyadh North,Riyadh,Large,Cleaning Supplies,9988.76,137,72.91,Apple Pay,3.9
30-06-2024,Al Olaya,Riyadh,Large,Personal Care,12614.98,108,116.81,Apple Pay,3.6
06-11-2025,Najran Central,Najran,Medium,Personal Care,4894.34,58,84.39,STC Pay,3.8
18-06-2025,Al Wajh,Tabuk,Medium,Cleaning Supplies,3720.2,,72.95,Mada,4.2
24-12-2024,Khamis Mushait,Asir,Small,Frozen Foods,2550.51,50,51.01,Mastercard,3.4
11-03-2025,Al Olaya,Riyadh,Large,Beverages,10943.11,114,95.99,Apple Pay,3.6
20-09-2024,Tabuk Central,Tabuk,Medium,Toys,5597.72,65,86.12,Visa,4.6
16-06-2025,Hittin,Riyadh,XLarge,,13265.87,124,106.98,Mada,3.8
24-09-2024,Al Anbariyah,Madinah,Large,Beverages,10648.6,118,90.24,Mada,4.0
12-02-2026,Bisha,Asir,Medium,Household,4422.22,50,88.44,Mada,3.4
14-08-2025,Dhahran,Eastern Province,XLarge,Toys,16108.29,185,87.07,Apple Pay,3.8
04-02-2026,Hittin,Riyadh,XLarge,Frozen Foods,12493.59,167,74.81,Cash,3.3
13-06-2024,Riyadh South,Riyadh,Large,Clothing,11058.37,107,103.35,Apple Pay,3.8
06-09-2025,Najran Central,Najran,Medium,Electronics,10418.99,71,146.75,Cash,4.2
20-09-2025,Bisha,Asir,Medium,Dairy,7198.61,106,67.91,Cash,3.9
17-10-2025,Jeddah East,Makkah,Large,Electronics,18714.87,164,114.12,STC Pay,3.5
12-06-2025,Al Jawf Central,Al Jawf,Small,Personal Care,2456.56,50,49.13,Mada,3.6
10-06-2024,Riyadh Central,Riyadh,Large,Dairy,5696.03,68,83.77,Mastercard,3.6
24-01-2026,Riyadh Central,Riyadh,Large,Cleaning Supplies,13269.55,173,76.7,Mastercard,3.9
21-12-2024,Hafuf,Eastern Province,Medium,Dairy,9537.13,124,76.91,Mada,4.3
28-06-2024,Al Anbariyah,Madinah,Large,Fresh Produce,10584.12,97,109.11,Mada,
02-04-2026,Hittin,Riyadh,,Bakery,17652.46,238,74.17,Apple Pay,4.0
30-07-2025,Khamis Mushait,Asir,Small,Bakery,1682.49,,33.65,Apple Pay,
23-08-2025,Arar Central,Northern Borders,Small,Beverages,3558.5,50,71.17,Mada,3.7
30-03-2026,Madinah Central,Madinah,Small,Baby Products,2308.21,50,46.16,Cash,3.3
11-09-2024,Al Anbariyah,Madinah,Large,,10487.51,104,100.84,Mada,3.6
28-12-2024,Jubail,Eastern Province,Large,Personal Care,14973.62,137,109.3,Mastercard,3.7
25-05-2025,Al Aziziyah,Makkah,Large,Bakery,12005.45,143,,Mada,3.9
08-06-2024,Hafuf,Eastern Province,Medium,Fresh Produce,7731.59,71,108.9,Tabby,4.6
20-09-2025,Al Bahah Central,Al Bahah,Small,Snacks & Confectionery,2224.75,50,44.49,Apple Pay,3.4
17-05-2025,Dammam Central,Eastern Province,Large,Frozen Foods,11199.58,127,88.19,Mada,4.1
25-02-2024,Makkah City,Makkah,Large,Beverages,11593.07,160,72.46,Cash,3.3
13-04-2025,Jeddah East,Makkah,Large,Toys,21397.69,221,96.82,Mastercard,4.5
21-11-2025,Riyadh Central,Riyadh,Large,Personal Care,12140.47,118,102.89,Visa,3.8
02-10-2024,Madinah North,Madinah,Large,Personal Care,10570.53,,100.67,Mada,4.3
05-03-2025,Al Rawdah,Makkah,Large,Meat & Poultry,19965.73,207,96.45,Mada,3.9
13-04-2026,Madinah Central,Madinah,Small,Dairy,1751.52,50,35.03,Mada,3.8
19-07-2024,Khamis Mushait,Asir,Small,Baby Products,2459.43,50,49.19,Apple Pay,3.8
30-06-2025,Buraidah Central,Qassim,Medium,Frozen Foods,4630.17,50,92.6,Visa,4.2
11-02-2025,Riyadh South,Riyadh,Large,Fresh Produce,6689.69,,102.92,Mada,
23-09-2024,Qatif,Eastern Province,XLarge,Household,16124.99,189,85.32,Mada,
25-02-2025,Riyadh North,Riyadh,Large,Snacks & Confectionery,6187.83,89,69.53,Mada,3.3
10-03-2026,Jeddah East,Makkah,Large,Dairy,7817.96,98,79.78,Apple Pay,3.5
21-03-2024,Hail Central,Hail,Small,Dairy,2960.91,50,59.22,Cash,4.0
07-03-2025,Qatif,Eastern Province,XLarge,Personal Care,36500.15,437,83.52,Cash,4.6
17-12-2024,Jeddah South,Makkah,Large,Dairy,8269.58,94,87.97,Mada,
10-03-2026,Hail Central,Hail,Small,Meat & Poultry,3319.0,50,66.38,Tabby,3.3
20-06-2024,Tabuk Central,Tabuk,Medium,Electronics,5676.24,50,113.52,Mastercard,4.4
03-08-2024,Al Malaz,Riyadh,Large,Fresh Produce,11335.9,103,110.06,STC Pay,3.6
27-01-2024,Riyadh South,Riyadh,Large,Household,17566.18,210,83.65,Cash,3.7
12-11-2024,Khamis Mushait,Asir,Small,Frozen Foods,1990.23,50,39.8,Cash,3.5
08-05-2026,Buraidah Central,Qassim,,Electronics,7190.73,52,138.28,STC Pay,4.1
05-10-2024,Unaizah,Qassim,Small,Fresh Produce,3577.88,50,71.56,Visa,3.3
08-10-2025,Arar Central,Northern Borders,Small,Cleaning Supplies,2283.83,50,45.68,Visa,2.7
06-07-2025,Najran Central,Najran,Medium,Fresh Produce,5433.26,55,98.79,Mada,3.6
06-11-2024,Jeddah North,Makkah,XLarge,Household,14964.95,165,90.7,Cash,3.9
12-02-2026,Al Bahah Central,Al Bahah,Small,Electronics,3000.71,50,60.01,Mada,4.1
26-03-2026,Madinah Central,Madinah,Small,Meat & Poultry,2206.12,,44.12,Visa,3.4
28-04-2026,Khamis Mushait,Asir,Small,Dairy,2158.4,50,43.17,Mada,3.7
18-10-2024,Dammam Central,Eastern Province,Large,Household,15589.95,141,110.57,Mada,4.0
14-10-2025,Hittin,Riyadh,XLarge,Beverages,15714.89,,78.97,Mada,4.1
20-01-2024,Jubail,Eastern Province,Large,Baby Products,13097.67,100,130.98,Tabby,3.8
14-01-2026,Hail Central,Hail,Small,Fresh Produce,1548.26,50,30.97,Mada,3.8
15-11-2024,Tabuk Central,Tabuk,Medium,Beverages,7626.63,85,89.73,Mastercard,4.0
27-02-2024,Jeddah North,Makkah,XLarge,Meat & Poultry,15621.96,144,108.49,Mada,4.0
16-04-2026,Al Anbariyah,Madinah,Large,Electronics,16596.11,151,109.91,Mastercard,3.0
25-01-2026,Madinah North,Madinah,Large,Fresh Produce,16171.9,196,82.51,Cash,4.5
29-04-2025,Al Rawdah,Makkah,Large,Baby Products,12470.53,139,89.72,Mada,3.7
05-05-2024,Buraidah Central,Qassim,Medium,Clothing,7286.88,55,132.49,STC Pay,3.1
25-04-2024,Al Rawdah,Makkah,Large,Beverages,9945.93,94,105.81,Apple Pay,3.5
10-01-2024,Madinah North,Madinah,Large,Personal Care,12156.69,137,88.73,Mastercard,3.6
15-01-2025,Jeddah North,Makkah,XLarge,Bakery,15055.76,200,75.28,Mastercard,3.4
02-03-2024,Riyadh South,Riyadh,Large,Fresh Produce,14073.1,158,89.07,Cash,4.7
26-08-2024,Al Bahah Central,Al Bahah,Small,Household,1990.13,50,39.8,Mada,4.1
06-12-2025,Riyadh North,Riyadh,Large,Frozen Foods,15265.94,156,97.86,Cash,3.4
26-07-2025,Hail Central,Hail,Small,Toys,2869.81,50,57.4,Mada,3.2
01-05-2026,Dammam Central,Eastern Province,Large,Snacks & Confectionery,11280.12,118,95.59,Visa,4.3
29-10-2024,Hail Central,Hail,Small,Household,2958.48,50,59.17,Apple Pay,2.9
26-09-2025,Riyadh North,Riyadh,Large,Frozen Foods,14418.96,146,98.76,Mastercard,3.8
18-04-2026,Unaizah,Qassim,Small,Household,4160.68,50,83.21,Visa,3.3
23-04-2024,Jubail,Eastern Province,Large,Clothing,11376.07,80,,STC Pay,3.6
02-02-2024,Jeddah East,Makkah,Large,Beverages,8838.56,87,101.59,Visa,4.1
30-09-2025,Buraidah Central,Qassim,Medium,Bakery,4497.46,56,80.31,Visa,3.3
14-01-2024,Riyadh West,Riyadh,Large,Bakery,13108.98,174,75.34,STC Pay,4.4
04-01-2025,Riyadh South,Riyadh,Large,Baby Products,,152,,Mada,4.1
23-04-2026,Riyadh South,Riyadh,Large,Household,14487.87,158,91.7,Apple Pay,4.0
09-04-2024,Buraidah Central,Qassim,Medium,Bakery,5551.41,70,79.31,Mada,
06-08-2025,Madinah North,Madinah,Large,Fresh Produce,9820.75,119,82.53,Mada,4.2
21-11-2025,Hafuf,Eastern Province,,Clothing,8748.54,87,100.56,Mada,4.2
17-07-2025,Jeddah East,Makkah,Large,Meat & Poultry,10889.45,85,128.11,Tamara,3.5
17-07-2025,Jubail,Eastern Province,Large,Dairy,10566.23,125,84.53,Apple Pay,3.9
25-04-2026,Al Wajh,Tabuk,Medium,Personal Care,10611.96,114,93.09,Mada,3.9
03-01-2025,Al Anbariyah,Madinah,Large,Beverages,13855.64,156,88.82,,2.9
02-09-2025,Al Khobar,Eastern Province,Large,Fresh Produce,7012.85,90,77.92,Cash,4.1
23-01-2024,Jubail,Eastern Province,Large,Baby Products,12026.39,129,93.23,STC Pay,3.8
23-07-2025,Al Jawf Central,Al Jawf,Small,Personal Care,2231.57,50,44.63,Mada,3.8
26-08-2024,Madinah North,Madinah,Large,Dairy,6714.67,86,78.08,Visa,4.1
21-01-2026,Al Rawdah,Makkah,Large,Dairy,6323.84,78,81.07,Mada,4.3
01-09-2025,Al Olaya,Riyadh,Large,Electronics,14222.6,122,116.58,Mada,3.4
28-02-2026,Riyadh South,Riyadh,Large,Cleaning Supplies,10325.82,128,80.67,STC Pay,4.3
11-10-2025,Riyadh Central,Riyadh,Large,Meat & Poultry,21421.66,179,119.67,Cash,4.3
01-08-2025,Unaizah,Qassim,Small,Household,,50,48.49,Cash,3.6
09-02-2026,Hail Central,Hail,Small,Household,2197.74,50,43.95,Mada,3.2
31-05-2024,Bisha,Asir,,Fresh Produce,4853.54,55,88.25,Cash,
20-03-2025,Al Jawf Central,Al Jawf,Small,Fresh Produce,4080.87,50,81.62,Visa,3.7
08-02-2025,Al Bahah Central,Al Bahah,,Fresh Produce,3233.08,50,64.66,Mastercard,
27-11-2024,Al Wajh,Tabuk,Medium,,6357.44,56,113.53,Mada,4.0
22-12-2024,Abha Central,Asir,Small,Meat & Poultry,3604.28,50,72.09,Apple Pay,3.8
30-09-2025,Hail Central,Hail,Small,Electronics,2532.66,,50.65,Mada,3.9
08-06-2024,Abha Central,Asir,Small,Snacks & Confectionery,3099.83,50,62.0,Cash,4.5
15-01-2024,Al Khobar,Eastern Province,Large,Snacks & Confectionery,7252.3,81,89.53,Mada,3.5
02-08-2024,Qatif,Eastern Province,XLarge,Bakery,18960.45,257,73.78,Apple Pay,3.5
12-12-2025,Jeddah North,Makkah,XLarge,Electronics,,309,126.22,Mastercard,
18-09-2024,Riyadh East,Riyadh,Large,,7086.88,98,72.32,Visa,4.4
09-03-2024,Riyadh Central,Riyadh,Large,Dairy,12750.48,181,70.44,Mastercard,4.0
20-01-2024,Al Olaya,Riyadh,Large,Cleaning Supplies,10630.57,130,81.77,Tabby,3.2
11-05-2025,Jubail,Eastern Province,Large,Household,16995.25,148,114.83,Visa,3.8
28-07-2025,Arar Central,Northern Borders,Small,Electronics,3414.4,,68.29,Visa,
19-01-2024,Jeddah South,Makkah,Large,Meat & Poultry,13189.41,125,105.52,Mada,4.1
09-10-2024,Al Jawf Central,Al Jawf,Small,Personal Care,2864.52,50,57.29,STC Pay,3.6
18-08-2024,Dammam Central,Eastern Province,Large,Cleaning Supplies,9006.36,122,73.82,Cash,3.7
17-06-2025,Khamis Mushait,Asir,Small,Personal Care,2564.85,50,51.3,Mada,3.6
11-09-2025,Dhahran,Eastern Province,XLarge,Household,17691.03,156,113.4,Cash,4.2
01-12-2025,Unaizah,Qassim,Small,Snacks & Confectionery,2543.71,50,50.87,Mastercard,3.4
02-11-2025,Jeddah North,Makkah,XLarge,Cleaning Supplies,27094.92,322,84.15,Visa,4.0
07-07-2024,Hittin,Riyadh,XLarge,Cleaning Supplies,16588.74,231,71.81,Apple Pay,4.3
06-11-2024,Tabuk Central,Tabuk,,Baby Products,6197.41,68,91.14,STC Pay,3.5
04-06-2024,Dammam Central,Eastern Province,Large,Fresh Produce,9800.48,95,103.16,Apple Pay,3.6
02-09-2025,Madinah Central,Madinah,Small,Toys,1956.69,50,39.13,Mastercard,3.4
17-05-2024,Najran Central,Najran,Medium,Personal Care,6390.89,72,88.76,Mada,4.1
16-06-2024,Makkah City,Makkah,Large,Electronics,14610.5,124,117.83,Cash,3.4
26-02-2025,Dammam Central,Eastern Province,Large,Clothing,9480.86,72,131.68,Mada,4.2
23-09-2025,Hail Central,Hail,Small,Dairy,1913.88,50,38.28,Mada,
05-03-2026,Bisha,Asir,Medium,Frozen Foods,4071.26,50,81.43,Mada,3.3
21-06-2025,Unaizah,Qassim,Small,Toys,3394.32,50,67.89,Cash,3.2
26-04-2026,Arar Central,Northern Borders,Small,,3846.25,50,76.92,Visa,
12-06-2025,Khamis Mushait,Asir,Small,Baby Products,2802.99,50,56.06,Mada,3.6
03-03-2026,Dhahran,Eastern Province,XLarge,Beverages,,215,88.05,Visa,4.5
19-04-2025,Jeddah North,Makkah,XLarge,Beverages,33225.4,425,78.18,Cash,4.2
18-05-2024,Unaizah,Qassim,Small,Dairy,2643.49,50,52.87,Mada,4.3
02-04-2024,Arar Central,Northern Borders,Small,Toys,3442.82,50,68.86,Apple Pay,3.1
03-04-2024,Hittin,Riyadh,XLarge,Beverages,21638.11,240,90.16,Visa,3.5
18-09-2025,Al Jawf Central,Al Jawf,Small,Meat & Poultry,3545.66,50,70.91,Apple Pay,4.1
02-08-2025,Qatif,Eastern Province,XLarge,Snacks & Confectionery,25854.14,272,95.05,Cash,4.0
12-11-2024,Dhahran,Eastern Province,XLarge,Baby Products,23409.5,204,114.75,Mada,3.9
26-07-2024,Makkah City,Makkah,Large,Frozen Foods,8167.71,74,110.37,Mada,3.1
31-08-2024,Al Bahah Central,Al Bahah,Small,Clothing,3418.88,50,68.38,Mada,3.6
07-09-2024,Riyadh Central,Riyadh,Large,Dairy,15563.42,204,76.29,Apple Pay,3.9
30-10-2025,Riyadh South,Riyadh,,Fresh Produce,9865.86,89,110.85,Visa,4.0
05-12-2024,Dhahran,Eastern Province,XLarge,Electronics,35682.69,265,134.65,Mada,3.7
11-04-2025,Jeddah East,Makkah,Large,Meat & Poultry,20581.4,152,135.4,Apple Pay,3.3
12-01-2025,Jubail,Eastern Province,Large,Snacks & Confectionery,14128.28,190,74.36,Apple Pay,4.2
12-12-2025,Hittin,Riyadh,XLarge,Dairy,25871.79,312,82.92,Mada,4.2
18-09-2025,Al Rawdah,Makkah,Large,Personal Care,8233.82,103,79.94,Visa,4.3
13-03-2025,Al Khobar,Eastern Province,Large,Dairy,14645.13,184,79.59,Tamara,4.1
12-05-2024,Hafuf,Eastern Province,Medium,Beverages,6588.35,84,,Mada,4.1
26-12-2025,Madinah Central,Madinah,Small,Fresh Produce,2887.61,,57.75,Mada,2.8
25-01-2026,Hittin,Riyadh,XLarge,Snacks & Confectionery,23690.14,346,68.47,Mada,3.7
12-01-2024,Al Rawdah,Makkah,Large,Toys,13347.73,126,105.93,Cash,4.2
02-06-2025,Dhahran,Eastern Province,XLarge,Frozen Foods,14170.81,136,104.2,Mada,
02-05-2026,Riyadh North,Riyadh,Large,Meat & Poultry,13933.91,118,118.08,Mastercard,4.1
27-03-2026,Najran Central,Najran,Medium,Fresh Produce,5017.9,50,100.36,Mada,4.4
13-03-2026,Arar Central,Northern Borders,Small,Cleaning Supplies,3008.37,50,,Visa,3.0
22-07-2025,Jubail,Eastern Province,Large,Bakery,7400.92,106,69.82,Apple Pay,4.1
14-10-2024,Jeddah North,Makkah,XLarge,Meat & Poultry,23805.6,205,116.12,Visa,3.8
07-08-2025,Jeddah South,Makkah,Large,Fresh Produce,10264.0,96,106.92,Apple Pay,3.5
05-10-2024,Riyadh East,Riyadh,Large,Beverages,13742.4,144,95.43,Mada,4.5
09-08-2024,Dhahran,Eastern Province,XLarge,Fresh Produce,20428.1,215,95.01,Cash,4.1
26-01-2024,Al Jawf Central,Al Jawf,Small,Cleaning Supplies,2702.94,50,54.06,Mada,3.8
20-01-2026,Najran Central,Najran,Medium,Dairy,4938.29,57,86.64,Apple Pay,4.7
23-11-2025,Buraidah Central,Qassim,Medium,Bakery,8018.98,87,92.17,Mada,4.5
28-04-2024,Buraidah Central,Qassim,Medium,Baby Products,7108.86,72,98.73,Visa,4.2
15-04-2024,Riyadh East,Riyadh,Large,Clothing,14182.01,114,124.4,Visa,4.0
16-10-2025,Dhahran,Eastern Province,XLarge,Dairy,19801.17,217,91.25,Mada,3.8
06-10-2024,Hittin,Riyadh,XLarge,Dairy,17474.65,176,99.29,Visa,
14-04-2024,Al Jawf Central,Al Jawf,Small,Meat & Poultry,3799.92,50,76.0,Cash,3.5
24-06-2024,Madinah North,Madinah,Large,Personal Care,6691.29,65,102.94,Mada,3.5
30-01-2024,Makkah City,Makkah,Large,Clothing,11316.21,82,138.0,Cash,3.6
23-09-2025,Hail Central,Hail,Small,Meat & Poultry,2440.89,50,48.82,Apple Pay,3.7
21-03-2024,Unaizah,Qassim,Small,Frozen Foods,4363.28,50,87.27,Cash,3.9
09-04-2024,Arar Central,Northern Borders,Small,Toys,3881.26,50,77.63,Mada,2.8
17-08-2024,Madinah Central,Madinah,Small,Cleaning Supplies,2211.57,50,44.23,Mada,4.0
18-03-2026,Qatif,Eastern Province,XLarge,Dairy,18498.34,230,80.43,Cash,4.8
25-12-2024,Hittin,Riyadh,XLarge,Snacks & Confectionery,17199.05,191,90.05,Mada,3.6
17-04-2026,Bisha,Asir,Medium,Fresh Produce,8516.52,96,88.71,Cash,3.6
29-06-2025,Dhahran,Eastern Province,XLarge,Personal Care,21450.59,202,106.19,Mada,4.2
14-12-2024,Riyadh West,Riyadh,Large,Toys,14875.88,152,,,4.2
11-07-2025,Qatif,Eastern Province,XLarge,Fresh Produce,21553.49,255,84.52,Mastercard,3.8
29-08-2025,Hittin,Riyadh,XLarge,Dairy,18840.67,197,95.64,Mada,3.3
19-02-2025,Dhahran,Eastern Province,XLarge,,11493.18,143,80.37,Apple Pay,3.7
02-04-2024,Riyadh South,Riyadh,Large,Fresh Produce,13982.47,160,87.39,Apple Pay,4.1
14-02-2026,Riyadh Central,Riyadh,Large,Fresh Produce,10597.64,119,89.06,Mada,3.6
02-11-2024,Jubail,Eastern Province,Large,Cleaning Supplies,14373.66,169,85.05,STC Pay,3.7
05-01-2026,Al Wajh,Tabuk,Medium,Meat & Poultry,6877.29,52,132.26,Cash,4.2
22-05-2026,Makkah City,Makkah,Large,Meat & Poultry,12783.84,118,108.34,Cash,3.8
22-04-2024,Hafuf,Eastern Province,Medium,Snacks & Confectionery,6140.95,66,93.04,Mastercard,3.5
19-02-2025,Khamis Mushait,Asir,Small,Household,2073.3,50,41.47,,3.8
22-07-2025,Al Aziziyah,Makkah,Large,Cleaning Supplies,7083.92,103,68.78,Mada,4.4
12-01-2024,Makkah City,Makkah,Large,Electronics,13081.03,109,120.01,Mada,3.8
19-05-2024,Al Wajh,Tabuk,Medium,Clothing,6526.85,54,120.87,Mada,3.9
30-09-2025,Al Wajh,Tabuk,Medium,Household,4482.13,50,89.64,Mada,3.3
19-08-2024,Hafuf,Eastern Province,Medium,Personal Care,3922.39,50,78.45,Apple Pay,3.8
13-07-2025,Tabuk Central,Tabuk,Medium,Electronics,9570.93,60,159.52,Mada,4.3
25-04-2024,Abha Central,Asir,Small,Baby Products,3412.72,50,68.25,Mastercard,2.8
21-04-2025,Dammam Central,Eastern Province,Large,Household,12308.43,128,96.16,,3.7
01-12-2025,Riyadh West,Riyadh,Large,Snacks & Confectionery,10272.8,115,89.33,Cash,3.4
09-04-2025,Najran Central,Najran,Medium,Beverages,5684.06,73,77.86,Mada,4.4
23-10-2024,Al Khobar,Eastern Province,Large,Toys,8820.25,,91.88,Mada,3.9
15-08-2025,Najran Central,Najran,Medium,Electronics,7183.57,66,108.84,Apple Pay,3.5
20-10-2024,Riyadh North,Riyadh,Large,Fresh Produce,14010.27,129,108.61,Apple Pay,3.8
28-05-2026,Dammam Central,Eastern Province,Large,Frozen Foods,8258.73,97,85.14,STC Pay,4.4
05-11-2025,Jeddah North,Makkah,XLarge,Snacks & Confectionery,16165.52,178,90.82,Mastercard,3.3
17-12-2024,Riyadh East,Riyadh,Large,Baby Products,16007.49,158,101.31,Apple Pay,3.9
09-02-2026,Al Bahah Central,Al Bahah,Small,Frozen Foods,2327.43,,46.55,Mada,3.4
25-02-2024,Hafuf,Eastern Province,Medium,Frozen Foods,6553.27,63,104.02,Mada,3.6
02-05-2025,Bisha,Asir,Medium,Frozen Foods,5282.42,66,80.04,Visa,3.3
25-09-2024,Najran Central,Najran,Medium,Cleaning Supplies,3495.25,50,69.91,STC Pay,4.2
26-01-2025,Hail Central,Hail,,Baby Products,3734.54,,74.69,Cash,
17-09-2025,Al Wajh,Tabuk,Medium,Snacks & Confectionery,5556.8,63,,Mada,3.5
18-09-2024,Al Olaya,Riyadh,Large,Meat & Poultry,12819.22,129,99.37,Mastercard,3.7
16-06-2025,Al Aziziyah,Makkah,Large,Toys,7932.49,72,110.17,Visa,
01-05-2026,Riyadh Central,Riyadh,Large,Meat & Poultry,11039.31,101,109.3,Mastercard,3.4
16-07-2024,Al Anbariyah,Madinah,Large,Personal Care,6897.8,59,116.91,Visa,4.3
05-09-2025,Al Rawdah,Makkah,Large,Toys,14032.47,125,112.26,Apple Pay,4.2
23-04-2024,Jeddah East,Makkah,Large,Bakery,10465.31,137,76.39,STC Pay,4.2
10-10-2024,Arar Central,Northern Borders,Small,Toys,2964.54,50,59.29,Apple Pay,3.6
06-03-2026,Dammam Central,Eastern Province,Large,Meat & Poultry,12153.91,132,92.08,Mada,4.5
01-07-2024,Al Anbariyah,Madinah,Large,Beverages,7695.25,106,72.6,,4.0
07-07-2025,Jeddah North,Makkah,XLarge,Bakery,13756.82,193,71.28,,4.4
15-04-2024,Al Anbariyah,Madinah,Large,Electronics,11899.11,99,120.19,Apple Pay,4.3
08-02-2024,Riyadh Central,Riyadh,Large,Dairy,8901.96,120,74.18,STC Pay,
11-06-2025,Riyadh Central,Riyadh,Large,Frozen Foods,9473.45,106,89.37,Mada,3.7
07-07-2025,Riyadh West,Riyadh,Large,Meat & Poultry,8773.34,85,103.22,Apple Pay,3.1
03-08-2025,Hittin,Riyadh,XLarge,Baby Products,26045.15,231,,Mada,5.0
09-01-2025,Al Malaz,Riyadh,Large,Baby Products,11542.56,91,126.84,,4.3
25-10-2025,Al Khobar,Eastern Province,Large,Household,,169,84.32,Mastercard,3.7
07-10-2025,Al Olaya,Riyadh,,Beverages,10343.78,140,73.88,Mada,4.2
23-05-2024,Al Aziziyah,Makkah,Large,Electronics,10534.69,97,108.61,Mada,3.3
26-05-2025,Dhahran,Eastern Province,XLarge,Snacks & Confectionery,13821.28,165,83.77,Tamara,4.5
13-12-2024,Riyadh East,Riyadh,Large,Frozen Foods,10601.85,98,108.18,Cash,4.0
25-11-2025,Arar Central,Northern Borders,Small,Household,3171.45,50,63.43,Mada,
07-02-2024,Riyadh West,Riyadh,Large,Beverages,9273.54,88,105.38,STC Pay,3.6
15-01-2024,Makkah City,Makkah,Large,Electronics,10345.56,73,141.72,Apple Pay,3.6
17-09-2025,Arar Central,Northern Borders,Small,Personal Care,1924.04,50,38.48,,2.9
05-03-2024,Madinah Central,Madinah,Small,Beverages,2497.47,50,49.95,Tamara,3.6
28-11-2024,Bisha,Asir,Medium,Toys,4863.13,52,93.52,Mada,4.1
30-08-2025,Riyadh East,Riyadh,Large,Electronics,16444.01,115,142.99,Apple Pay,3.7
14-12-2025,Jeddah South,Makkah,Large,Fresh Produce,14391.29,143,100.64,Visa,4.3
07-03-2026,Khamis Mushait,Asir,Small,Cleaning Supplies,2467.12,50,49.34,Cash,4.1
24-12-2025,Al Malaz,Riyadh,Large,Cleaning Supplies,10440.08,129,80.93,Apple Pay,3.9
26-05-2024,Al Rawdah,Makkah,Large,Household,15265.96,147,103.85,STC Pay,3.2
02-09-2025,Riyadh East,Riyadh,Large,Beverages,7408.94,102,72.64,Visa,3.9
25-07-2025,Riyadh Central,Riyadh,Large,Fresh Produce,9771.49,109,89.65,Cash,3.4
18-02-2026,Abha Central,Asir,Small,Household,2792.3,50,55.85,Visa,3.6
26-03-2026,Hittin,Riyadh,XLarge,Snacks & Confectionery,13611.83,193,70.53,Mada,4.1
17-11-2025,Jeddah South,Makkah,Large,Electronics,17831.97,129,138.23,Mada,3.8
14-02-2024,Arar Central,Northern Borders,Small,Electronics,2267.27,50,45.35,Mada,4.2
11-05-2025,Riyadh North,Riyadh,Large,Electronics,18608.31,127,,Mada,
23-08-2024,Jubail,Eastern Province,Large,Dairy,12016.12,126,95.37,Mastercard,3.6
19-01-2025,Al Aziziyah,Makkah,Large,Electronics,22337.43,177,126.2,Cash,3.5
01-07-2024,Arar Central,Northern Borders,Small,Fresh Produce,1807.42,50,36.15,Visa,3.7
26-07-2024,Dammam Central,Eastern Province,Large,Electronics,14999.15,118,127.11,Mada,4.1
24-06-2024,Tabuk Central,Tabuk,Medium,Bakery,4021.48,50,80.43,Mada,4.1
14-08-2025,Jeddah South,Makkah,Large,Snacks & Confectionery,11082.28,112,98.95,Apple Pay,2.5
07-05-2026,Najran Central,Najran,Medium,Electronics,7071.32,52,135.99,STC Pay,3.9
01-12-2024,Madinah North,Madinah,Large,Bakery,12437.71,194,64.11,STC Pay,4.5
15-02-2024,Tabuk Central,Tabuk,Medium,Beverages,3366.45,50,67.33,Cash,3.4
07-02-2025,Buraidah Central,Qassim,Medium,Snacks & Confectionery,5161.44,71,72.7,Mada,3.8
10-12-2025,Riyadh Central,Riyadh,Large,Baby Products,14612.04,118,123.83,Mada,4.3
17-01-2024,Al Malaz,Riyadh,Large,Dairy,8090.77,109,74.23,Apple Pay,3.8
19-04-2025,Arar Central,Northern Borders,Small,Cleaning Supplies,3957.63,50,79.15,Apple Pay,3.5
03-10-2025,Abha Central,Asir,Small,Clothing,3722.86,50,74.46,Cash,3.9
30-10-2024,Riyadh East,Riyadh,Large,Dairy,8681.05,127,68.35,Visa,3.6
17-03-2026,Al Rawdah,Makkah,Large,Personal Care,11537.16,113,102.1,STC Pay,2.9
22-02-2024,Abha Central,Asir,Small,Meat & Poultry,2034.07,50,40.68,Mada,3.5
25-10-2025,Jeddah East,Makkah,Large,Electronics,22731.38,189,120.27,Mada,4.1
26-10-2025,Hittin,Riyadh,XLarge,Baby Products,27925.54,274,101.92,Tabby,4.0
10-02-2026,Al Rawdah,Makkah,Large,Bakery,8037.13,100,80.37,,3.7
16-01-2025,Riyadh West,Riyadh,Large,Beverages,8411.68,100,84.12,Cash,3.5
